,Day,Batch Semester,Room,Group,7:30 8:20,8:20 9:10,9:10 10:00,10:00 10:50,10:50 11:40,11:40 12:30,12:30 1:20,1:20 2:05,2:05 2:50
68,Wednesday,"019 CMP 
 VI",LB 204,C,Data Communication (Lab 1) [AKJ][DD],Data Communication (Lab 1) [AKJ][DD],Embedded System  [DPG],Embedded System  [DPG],BREAK,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],OOSE (Lab 5) [IP][MM],OOSE (Lab 5) [IP][MM]
69,Wednesday,"019 CMP 
 VI",LB 204,D,Simulation & Modeling (Lab 7) [SB][SK],Simulation & Modeling (Lab 7) [SB][SK],Embedded System  [DPG],Embedded System  [DPG],BREAK,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ],Embedded System (Lab 7) [DPG],Embedded System (Lab 7) [DPG]
70,Wednesday,"018 CMP 
 VIII",LB 203,A,DSAP (L2) [RDS],DSAP (L2) [RDS],IS (L2) [DRP],IS (L2) [DRP],BREAK,SPIT (L2) [TRO],SPIT (L2) [TRO],IS (lab-2) [DRP+AG],IS (lab-2) [DRP+AG]
71,Wednesday,"018 CMP 
 VIII",LB 203,B,DSAP (L2) [RDS],DSAP (L2) [RDS],IS (L2) [DRP],IS (L2) [DRP],BREAK,SPIT (L2) [TRO],SPIT (L2) [TRO],DSAP (lab-6) [RDS],DSAP (lab-6) [RDS]
72,Thursday,022 Comp II,022 Comp II,A,Basic Engineering Drawing ( JKT/PPA),Basic Engineering Drawing ( JKT/PPA),Basic Engineering Drawing ( JKT/PPA),"Applied Physics
 LB 201 (LNP)",BREAK,Applied Physics Lab,Applied Physics Lab,Applied Chemistry LB 203,Applied Chemistry LB 203
73,Thursday,022 Comp II,022 Comp II,B,Basic Engineering Drawing ( GSB/PB),Basic Engineering Drawing ( GSB/PB),Basic Engineering Drawing ( GSB/PB),"Applied Physics
 LB 201 (LNP)",BREAK,Instrumentation Lab SuB,Instrumentation Lab SuB,Applied Chemistry LB 203,Applied Chemistry LB 203
74,Thursday,022 Comp II,SC-2,C,Applied Physics SC2 (RKB),Applied Physics SC2 (RKB),Instrumentation SuB SC2,"Applied Physics
 LB 201 (LNP)",BREAK,"Algebra and Geometry
 (UB)SC2",Basic Engineering Drawing ( JKT/PPA),Applied Chemistry LB 203,Applied Chemistry LB 203
75,Thursday,022 Comp II,SC-2,D,Applied Physics SC2 (RKB),Applied Physics SC2 (RKB),Instrumentation SuB SC2,"Applied Physics
 LB 201 (LNP)",BREAK,"Algebra and Geometry
 (UB)SC2",Basic Engineering Drawing ( GSB/ArS),Applied Chemistry LB 203,Applied Chemistry LB 203
76,Thursday,"021 CMP
III ",LB 101,A,Logic Ckt (LB 101) RKP,Logic Ckt (LB 101) RKP,DSA (LB 101) GS,BREAK,Network Theory (LB 101) BP,DSA (LB 101) GS,DSA (LB 101) GS,EDC (LB 101) AY,EDC (LB 101) AY
77,Thursday,"021 CMP
III ",LB 101,B,Logic Ckt (LB 101) RKP,Logic Ckt (LB 101) RKP,DSA (LB 101) GS,BREAK,Network Theory (LB 101) BP,DSA (LB 101) GS,DSA (LB 101) GS,EDC (LB 101) AY,EDC (LB 101) AY
78,Thursday,"021 CMP
III ",LB 102,C,Network Theory (LB 102) BP,Network Theory (LB 102) BP,Logic Ckt (LB 102) DPG,BREAK,BREAK,EDC (LB 102) AY ,EDC (LB 102) AY ,Math (LB 102) BPB,Math (LB 102) BPB
79,Thursday,"021 CMP
III ",LB 102,D,Network Theory (LB 102) BP,Network Theory (LB 102) BP,Logic Ckt (LB 102) DPG,BREAK,BREAK,EDC (LB 102) AY ,EDC (LB 102) AY ,Math (LB 102) BPB,Math (LB 102) BPB
80,Thursday,"020 CMP 
 IV",LB 103,A,PT (Lab-1) [KBS] [TCS],PT (Lab-1) [KBS] [TCS],DBMS (L) [AKJ],DBMS (L) [AKJ],BREAK,Math (L) BPB,Math (L) BPB,Instrumentation (L) [GA],Instrumentation (L) [GA]
81,Thursday,"020 CMP 
 IV",LB 103,B,Instrumentation (P) [GA],Instrumentation (P) [GA],DBMS (L) [AKJ],DBMS (L) [AKJ],BREAK,Math (L) BPB,Math (L) BPB,Instrumentation (L) [GA],Instrumentation (L) [GA]
82,Thursday,"020 CMP 
 IV",LB 201,C,Math (L) BPB/DRP,Math (L) BPB/DRP,Instrumentation (P) [GA],Instrumentation (P) [GA],BREAK,Microprocessor (P) [DKC],Microprocessor (P) [DKC],DBMS (L) [DKD],DBMS (L) [DKD]
83,Thursday,"020 CMP 
 IV",LB 201,D,Math (L) BPB/DRP,Math (L) BPB/DRP,Microprocessor (P) [DKC],Microprocessor (P) [DKC],BREAK,PT (P) Lab 1 [BM][DD],PT (P) Lab 1 [BM][DD],DBMS (L) [DKD],DBMS (L) [DKD]
84,Thursday,"019 CMP 
 VI",LB 202,A,Embedded System  [DPG] ,Embedded System  [DPG] ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,BREAK,OOSE (L2) [MM],OOSE (L2) [MM],Data Communication (Lab 1) [DD][],Data Communication (Lab 1) [DD][]
85,Thursday,"019 CMP 
 VI",LB 202,B,Embedded System  [DPG] ,Embedded System  [DPG] ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,BREAK,OOSE (L2) [MM],OOSE (L2) [MM],Simulation & Modeling (Lab 2) [SK][SB],Simulation & Modeling (Lab 2) [SK][SB]
86,Thursday,"019 CMP 
 VI",LB 204,C,Simulation and Modeling Lab 7 [SB][SK],Simulation and Modeling Lab 7 [SB][SK],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,BREAK,Data Communication [AKJ ],Data Communication [AKJ ],Embedded System [DPG],Embedded System [DPG]
87,Thursday,"019 CMP 
 VI",LB 204,D,Data Communication (Lab 2 ) [AKJ][DD],Data Communication (Lab 2 ) [AKJ][DD],ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,ELECTIVE  [NPD-LB PR] [MRU-Lab 3] [BM-LB 202 ,BREAK,Data Communication [AKJ ],Data Communication [AKJ ],Embedded System [DPG],Embedded System [DPG]
88,Thursday,"018 CMP 
 VIII",LB 203,A,O&M  [DBD],O&M  [DBD],SPIT  [TRO],SPIT  [TRO],BREAK,IS (L2) [DRP],IS (L2) [DRP],Project,Project
89,Thursday,"018 CMP 
 VIII",LB 203,B,O&M  [DBD],O&M  [DBD],SPIT  [TRO],SPIT  [TRO],BREAK,IS (L2) [DRP],IS (L2) [DRP],Project,Project
